State id,Simulated total infected,Simulated total death,Simulated total recovery
1.0,30.0,0.0,0.0
1.0,33.33019677923447,0.0,0.9523809523809523
1.0,37.257399033419176,0.0,1.9982638349779138
1.0,41.89155536682729,0.0,3.153174816825427
1.0,47.363048078506885,0.0,4.4357529055214515
1.0,53.8266432453742,0.0,5.868263142117933
1.0,61.46616976048481,0.0,7.477222564919661
1.0,70.50006879649223,0.0,9.294157102227208
1.0,81.18798072106412,0.0,11.356511618334872
1.0,93.83856691132952,0.0,13.708740040291692
1.0,108.81880000656614,0.0,16.403607976080032
1.0,126.56499884181176,0.0,19.503746659966147
1.0,146.14428027183138,0.0,23.08350461487022
1.0,167.67371580021538,0.0,27.217327040937768
1.0,191.28849349793003,0.0,31.980583290482397
1.0,217.14432224821897,0.0,37.450661965002986
1.0,245.41951476345784,0.0,43.70799933050939
1.0,276.3169013969528,0.03934549168878336,50.79773235057156
1.0,310.0656971044981,0.08492022246719116,58.8425006668549
1.0,346.92341807380046,0.13802918076325613,67.93657382265967
1.0,387.1779233033885,0.20003136585350456,78.18125917415723
1.0,431.14963984777427,0.27238732701125845,89.68593805398844
1.0,479.1940181290802,0.35670814746065604,102.5691547832556
1.0,531.7042549745133,0.4548076090025968,116.95976755996523
1.0,589.1143161381767,0.5687593206727136,132.99817019255497
1.0,651.9022863159182,0.700960704553932,150.83759384147064
1.0,720.5940724707154,0.8542059055018124,170.6454982637434
1.0,795.7674851678831,1.0317699327845942,192.60506245030786
1.0,878.0567221849699,1.237506656394495,216.9167849544001
1.0,968.157278598631,1.4759636772207918,243.80020459785234
1.0,1066.831307604067,1.7517400062365416,273.49653015686465
1.0,1174.9134562721827,2.0695723006689906,306.27070868186905
1.0,1293.317200095027,2.4344101361649635,342.41368826699807
1.0,1423.0416993158474,2.851484340245466,382.24488844665774
1.0,1565.1791984836857,3.326371402567699,426.11489331885986
1.0,1720.922988193903,3.865056259473545,474.408384113428
1.0,1891.5759443292511,4.473995244465077,527.5473292963669
1.0,2078.5596550205205,5.160180644301711,585.9944514605222
1.0,2283.424138679078,5.931208059875186,650.2569912048341
1.0,2507.858147444747,6.7953476111761795,720.8907889371208
1.0,2753.700038815528,7.76161992449302,798.5047060165884
1.0,3022.949183594518,8.839877781784477,883.7654068320604
1.0,3317.7778600537395,10.040894285813565,977.4025232218586
1.0,3640.54356175824,11.376458392237943,1080.2142219938899
1.0,3993.8016191358793,12.859478675836804,1193.0731950921227
1.0,4380.318001878713,14.504096228425546,1316.9330900487412
1.0,4803.082129833591,16.32580762787893,1452.835395606711
1.0,5265.319473368159,18.341598968903764,1601.9167936166045
1.0,5770.503669472993,20.5700920051069,1765.4169832985533
1.0,6322.3678163194445,23.031703517115638,1944.6869774808679
1.0,6924.914535985283,25.748819091787087,2141.1978622181314
1.0,7582.424312133265,28.74598257167511,2356.5500009621237
1.0,8299.461516435544,32.05010251061134,2592.48265189186
1.0,9156.901380368376,35.690677049033255,2850.883951766501
1.0,10177.75892599204,39.70003869982726,3134.52523897342
1.0,11388.213358997364,44.113620609866494,3447.0866318449534
1.0,12818.001562847854,48.97024593158006,3793.1900441338557
1.0,14500.746342375649,54.31244199970667,4178.458825854407
1.0,16474.181685983014,60.18678105710745,4609.600761591944
1.0,18780.22156974205,66.64424930558911,5094.510956176317
1.0,21464.80100812788,73.74064606763606,5642.390464792196
1.0,24577.399182104895,81.5370148261982,6263.875321865314
1.0,28170.13681048544,90.10010785441405,6971.1688349577535
1.0,32296.32745285714,99.502886046132,7778.167605721685
1.0,37008.36125416063,109.82505540050501,8700.568746235056
1.0,42354.81813255885,121.1536413871932,9755.942304919612
1.0,48376.75562278537,133.58360210832777,10963.749289882615
1.0,55103.20442627381,147.21848076284283,12345.282385376964
1.0,62546.038389791385,162.1710973894498,13923.504267823764
1.0,70694.56220111095,178.5642791956907,15722.75837029091
1.0,79510.36105392083,196.53162794947812,17768.33021771829
1.0,88923.14286594612,216.2550217236448,20085.80851077428
1.0,98828.41641534412,237.96695434145755,22700.316704129087
1.0,109087.82002084184,261.954360416829,25635.59532695236
1.0,119532.69114098589,288.5638361809109,28912.973670616047
1.0,129971.03807170906,318.20817541148256,32550.291671192594
1.0,140197.50069293572,351.374129120906,36560.85131832232
1.0,150005.29823902145,388.63126409637215,40952.48704766833
1.0,159198.7247453613,430.6417349277873,45726.84260394536
1.0,167604.60753528035,478.17069234942693,50878.92642665829
1.0,175081.3437067513,532.0969234644623,56396.99050140258
1.0,181524.61318586773,593.4231543393043,62262.743555682086
1.0,186869.4859295166,663.2852439372609,68451.87482694932
1.0,191089.22266260462,742.9592683507573,74934.83556844766
1.0,194191.4821319016,833.865253638237,81677.80632667991
1.0,196212.83950369467,937.5660953871754,88643.77047466296
1.0,197212.51018891367,1055.7600499771142,95793.61758173734
1.0,197266.02525065644,1190.2651576464236,103087.2112236158
1.0,196459.39284243042,1342.9941307484314,110484.3713364174
1.0,194884.06511937524,1515.9186772716876,117945.73793129221
1.0,192632.848663346,1711.0229696706517,125433.49840420892
1.0,189796.76370101288,1930.2470016362327,132911.97326275648
1.0,186462.77305128035,2175.4218174422595,140348.06423526123
1.0,182712.25750114507,2448.1998866278022,147711.57453893474
1.0,178620.09922119757,2749.9850050487753,154975.41414583017
1.0,174254.23854254597,3081.866789294684,162115.70399918032
1.0,169675.58363902758,3444.564901975593,169111.793100933
1.0,164938.17148380837,3838.387520263266,175946.2018604184
1.0,160089.49807681623,4263.2073072963085,182604.5044709703
1.0,155170.95419038733,4718.456471141475,189075.1625284027
