State id,Date,Simulated total infected,Simulated total death,Simulated total recovery
1.0,14/3/2020,30.0,0.0,0.0
1.0,15/3/2020,33.46105415660554,0.0,0.8229171448243345
1.0,16/3/2020,35.20302495864079,0.0,1.6981725688782079
1.0,17/3/2020,34.60694397789212,0.0,2.5490158967693084
1.0,18/3/2020,31.579799160751804,0.0,3.3100696180121023
1.0,19/3/2020,27.832376740506,0.0,3.94097169011354
1.0,20/3/2020,22.82286066820517,0.0,4.4208229559711025
1.0,21/3/2020,17.150920829564402,0.0,4.755857226160449
1.0,22/3/2020,11.482018205362174,0.0,4.975757366730682
1.0,23/3/2020,8.17638696957729,0.0,5.156679377169278
1.0,24/3/2020,5.618255278704641,0.0,5.300210349534103
1.0,25/3/2020,3.653919386282555,0.0,5.412152640775522
1.0,26/3/2020,2.486662754802407,0.0,5.516992180469412
1.0,27/3/2020,22.545798784416586,0.0,7.145516420451265
1.0,28/3/2020,34.653650955725674,0.0,8.340235579267704
1.0,29/3/2020,32.594817451428824,0.0,8.969705264553177
1.0,30/3/2020,33.13116503063925,0.0,9.766781204741015
1.0,31/3/2020,30.346924663117754,0.03934549168878336,10.37798131048327
1.0,1/4/2020,27.59454148685876,0.08738058000898248,10.963836754336945
1.0,2/4/2020,25.396193269307513,0.14126504896486486,11.549364950680891
1.0,3/4/2020,23.639763855988075,0.19804636605587045,12.139235853239676
1.0,4/4/2020,22.27506023249035,0.254656289008469,12.735032771916096
1.0,5/4/2020,21.190584241929795,0.30807489091899026,13.337933340115725
1.0,6/4/2020,20.347228028165762,0.3554255108092814,13.949293688462863
1.0,7/4/2020,19.682719301652135,0.39460947101093674,14.57058866975675
1.0,8/4/2020,22.628249449692195,0.4245516293575817,15.425573385616174
1.0,9/4/2020,20.776035345859658,0.44521905301327624,17.49132137725365
1.0,10/4/2020,19.365341648383392,0.45866859331499304,16.3150090411571
1.0,11/4/2020,16.85679364881131,0.46900602292266264,17.859329488949562
1.0,12/4/2020,18.02202381097532,0.4794354802248358,18.43961015590722
1.0,13/4/2020,19.259001916845744,0.5236794630795771,19.03388695524633
1.0,14/4/2020,20.572701850826117,0.5879948275734571,19.657125436523106
1.0,15/4/2020,21.968208436573587,0.6622599717042527,20.32121043011134
1.0,16/4/2020,23.450777924530364,0.7452346323184287,21.029602474896155
1.0,17/4/2020,25.025891066096445,0.8348913001444497,21.78694617249574
1.0,18/4/2020,26.486042299275773,0.9287730966896154,22.59485230523016
1.0,19/4/2020,27.51309489502554,1.0265877557078276,23.492997123351444
1.0,20/4/2020,28.01474072310234,1.1267784260801477,24.48860663953511
1.0,21/4/2020,27.998029103378993,1.2280571077614173,25.57282909338317
1.0,22/4/2020,27.688766188808057,1.329550105774104,26.745814728216633
1.0,23/4/2020,27.22104148331458,1.4305802049828629,27.886991613959093
1.0,24/4/2020,26.452398756440832,1.530719998330273,29.064041465933364
1.0,25/4/2020,25.514290398969035,1.631144877313813,30.24022742546263
1.0,26/4/2020,24.487478225228823,1.7699492223016586,31.355793237667765
1.0,27/4/2020,23.42257011794258,1.9375214244521297,32.4072885879944
1.0,28/4/2020,22.351555287845876,2.125144735623423,33.39582053788409
1.0,29/4/2020,21.294605480299253,2.308412629942483,34.341694371245254
1.0,30/4/2020,20.264250353899946,2.487810040932631,35.24259641421649
1.0,1/5/2020,19.26802124954829,2.663844723995005,36.097660616524394
1.0,2/5/2020,18.310162846805976,2.8370404090236576,36.906947935057424
1.0,3/5/2020,17.392758006013395,3.007932143726647,37.671101432901004
1.0,4/5/2020,16.509861873025564,3.177063289037224,38.433671381091976
1.0,5/5/2020,15.675219525187929,3.3491932265998803,40.172851646213
1.0,6/5/2020,14.903179459350552,3.5245321579705924,43.99223916380807
1.0,7/5/2020,14.192442727968423,3.7022627385448366,50.038681856735614
1.0,8/5/2020,13.53404042043714,3.880776439748129,58.46383824996651
1.0,9/5/2020,12.91807854873574,4.0548448591228174,69.37324332764634
1.0,10/5/2020,12.336136773758538,4.227439812422866,82.79141396891742
1.0,11/5/2020,11.781946577706245,4.396397002108398,98.69556306766437
1.0,12/5/2020,11.25125585179088,4.560300154590276,117.03616651472313
1.0,13/5/2020,10.74137084991779,4.718284045249973,137.74945864434923
1.0,14/5/2020,10.250676234853607,4.86987270663036,160.76126347812738
1.0,15/5/2020,9.778246657774487,5.014857560690298,185.98921960406392
1.0,16/5/2020,9.323564130998072,5.1532095995935485,213.34550993532923
1.0,17/5/2020,8.90353899740615,5.2850176997931655,242.73997195433552
1.0,18/5/2020,8.51186398958664,5.410445989141257,274.08315864116395
1.0,19/5/2020,8.148614473244976,5.529704719960161,307.2883919589897
1.0,20/5/2020,7.813605861490623,5.643030556649551,342.27319120203657
1.0,21/5/2020,7.506505661100678,5.750666855261224,378.9601678990153
1.0,22/5/2020,7.226914909852429,5.85287525282084,417.2774608249708
1.0,23/5/2020,6.974425476037701,5.949993798791561,457.1588171943863
1.0,24/5/2020,6.748660162488394,6.042414411216697,498.54354527540926
1.0,25/5/2020,6.549301085577602,6.130527314596875,541.37636813094
1.0,26/5/2020,6.376110196812568,6.214680793371147,585.6071839136742
1.0,27/5/2020,6.228944598142223,6.295161156810623,631.1907662931271
1.0,28/5/2020,6.107768444672206,6.372191433119313,678.086432021638
1.0,29/5/2020,6.012662665285504,6.445942387069667,726.2576987802746
1.0,30/5/2020,5.943833360328813,6.5165476252238586,775.6719520691702
1.0,31/5/2020,5.90161949120393,6.584117346202147,826.3001328735437
,1/6/2020,5.886500313929861,6.648748698727469,878.1164515824595
