State Id,Number of infected (new),Number of Death (New),Number of Recovery (New)
1.0,30.0,0.0,0.0
1.0,4.282577731615422,0.0,0.9523809523809523
1.0,4.973085136781668,0.0,1.0458828825969615
1.0,5.789067315255628,0.0,1.1549109818475134
1.0,6.754070800375619,0.0,1.2825780886960243
1.0,7.896105403463796,0.0,1.4325102365964817
1.0,9.248485937912339,0.0,1.6089594228017274
1.0,10.850833573314967,0.0,1.8169345373075476
1.0,12.750266440679557,0.0,2.062354516107664
1.0,15.00281461222222,0.0,2.35222842195682
1.0,17.67510103102495,0.0,2.6948679357883396
1.0,20.846337519131737,0.0,3.100138683886115
1.0,23.15903938492369,0.0,3.5797579549040712
1.0,25.66325795445155,0.0,4.13382242606755
1.0,28.378033947259286,0.0,4.763256249544629
1.0,31.325907424809525,0.0,5.47007867452059
1.0,34.53252988074527,0.0,6.257337365506402
1.0,38.026465145245915,0.03934549168878336,7.089733020062171
1.0,41.83913875460704,0.045574730778407804,8.044768316283342
1.0,46.00490308340319,0.05310895829606497,9.094073155804764
1.0,50.56119276617588,0.062002185090248435,10.244685351497568
1.0,55.5487513853747,0.07235596115775392,11.504678879831204
1.0,61.01191583102246,0.0843208204493976,12.883216729267156
1.0,66.99894908368472,0.09809946154194076,14.390612776709625
1.0,73.56241550792323,0.11395171167011682,16.038402632589744
1.0,80.7595952105384,0.13220138388121838,17.839423648915663
1.0,88.65293577801788,0.15324520094788044,19.80790442227277
1.0,97.31054091101493,0.17756402728278178,21.959564186564453
1.0,106.8066962447889,0.2057367236099008,24.311722504092245
1.0,117.22243307793968,0.23845702082629688,26.88341964345225
1.0,128.64613089346403,0.2757763290157498,29.69632555901233
1.0,141.17415948755252,0.3178322944324489,32.77417852500439
1.0,154.91156124346924,0.3648378354959729,36.142979585129
1.0,169.97277360456064,0.41707420408050266,39.83120017965968
1.0,186.48239110236267,0.474887062322233,43.870004872202124
1.0,204.5759653616912,0.5386848569058458,48.293490794568115
1.0,224.40084030327864,0.6089389849915321,53.13894518293893
1.0,246.1170182552613,0.6861853998366337,58.4471221641553
1.0,269.89805081844304,0.7710274155734754,64.2625397443119
1.0,295.93194604925645,0.8641395513009928,70.63379773228671
1.0,324.42208076356553,0.9662723133168408,77.61391707946768
1.0,355.5881034517537,1.0782578572914554,85.26070081547194
1.0,389.6668093530485,1.2010165040290883,93.63711638979818
1.0,426.91296458295596,1.3355641064243784,102.81169877203126
1.0,467.60005075947106,1.483020283598861,112.85897309823271
1.0,512.0208952520413,1.6446175525887408,123.85989495661845
1.0,560.4881449123011,1.8217113994533856,135.90230555796975
1.0,613.3345328854864,2.0157913410248325,149.08139800989355
1.0,670.9128788229859,2.228493036203138,163.50018968194883
1.0,733.5957525407744,2.461611512008736,179.26999418231446
1.0,801.7747199777734,2.71711557467145,196.5108847372637
1.0,875.8590783718623,2.9971634798880222,215.35213874399236
1.0,956.2739751709514,3.304119938936232,235.93265092973624
1.0,1119.481738345895,3.6405745384219186,258.40129987464104
1.0,1308.5081944813778,4.009361650794003,283.6412872069189
1.0,1527.4294077868958,4.413581910039236,312.5613928715334
1.0,1780.7482414611063,4.856625321713566,346.10341228890235
1.0,2073.355757316473,5.342196068126611,385.26878172055154
1.0,2410.451618402303,5.874339057400781,431.1419357375372
1.0,2797.4075465918913,6.457468248481664,484.9101945843732
1.0,3239.5553437637564,7.096396762046945,547.8795086158792
1.0,3741.879399808694,7.796368758562146,621.4848570731177
1.0,4308.594234501202,8.563093028215842,707.2935130924399
1.0,4942.592191327345,9.40277819171796,806.9987707639307
1.0,5644.757111171234,10.322169354373003,922.4011405133722
1.0,6413.159023069469,11.3285859866882,1055.373558684556
1.0,7242.174435910656,12.42996072113456,1207.8069849630024
1.0,8121.616777637306,13.634878654515077,1381.5330954943493
1.0,9036.00846259098,14.952616626606986,1578.2218824468007
1.0,9964.171095592954,16.393181806240868,1799.2541024671466
1.0,10879.338048991045,17.967348753787427,2045.571847427378
1.0,11749.983498855452,19.723393774166667,2317.4782930559913
1.0,12541.493675370617,21.711932617812735,2614.5081933548045
1.0,13218.669634396363,23.98740607537141,2935.278622823273
1.0,13748.858939571815,26.60947576408195,3277.3783436636877
1.0,14105.309270530292,29.644339230571656,3637.318000576548
1.0,14270.188222065808,33.16595370942346,4010.5596471297254
1.0,14236.690410407202,37.257134975466165,4391.635729346009
1.0,14009.792533448317,42.01047083141514,4774.355556277037
1.0,13605.495570053601,47.528957421639646,5152.083822712925
1.0,13048.726477330283,53.92623111503539,5518.064074744291
1.0,12370.348764270777,61.326230874842096,5865.75305427951
1.0,11603.866104514076,69.86208959795655,6189.131271267235
1.0,10782.37149899984,79.67402441349635,6482.960741498337
1.0,9936.136212816724,90.90598528747974,6742.970758232257
1.0,9091.022361525058,103.70084174893844,6965.964147983049
1.0,8267.711746883317,118.19395458993874,7149.847107074382
1.0,7481.613811290532,134.50510766930944,7293.59364187845
1.0,6743.256677677593,152.72897310200776,7397.160112801611
1.0,6058.963418342886,172.92454652325623,7461.366594874806
1.0,5431.648309286422,195.1042923989641,7487.7604729167015
1.0,4861.613928180013,219.22403196558088,7478.474858547548
1.0,4347.275138578261,245.1748158060268,7436.090972504762
1.0,3885.7728227237526,272.7780691855429,7363.510303673495
1.0,3473.4664453689184,301.785118420973,7263.839606895445
1.0,3106.310958944436,331.88178424590876,7140.28985335013
1.0,2780.1323109151854,362.6981126809087,6996.089101752662
1.0,2490.819222553866,393.8226182876733,6834.408759485401
1.0,2234.4489905928203,424.8197870330422,6658.302610551915
1.0,2007.3633348486621,455.2491638451667,6470.658057432398
1.0,1806.2078032615532,484.6842163490269,6274.1590708213425
1.0,1627.9455825984192,512.7293269663191,6071.260270880959
1.0,1469.8540943479745,539.0336553883515,5864.171371096849
1.0,1329.5106383096713,563.3011254776661,5654.850955717395
1.0,1204.7716238607536,585.2963129096987,5445.0083094528145
1.0,1093.7485811156362,604.8464544013028,5236.111837490979
1.0,994.7831222673849,621.8401164260349,5029.402540278673
1.0,906.4222692440817,636.2232387061913,4825.911045588368
1.0,827.3950210210901,647.9933210676122,4626.476831804479
1.0,756.5906529154165,657.19248199034,4431.768470884021
1.0,693.0389798748658,663.9000177528462,4242.303944827018
1.0,635.892643558269,668.2249631780843,4058.47031808687
1.0,584.4113737546431,670.2990220927977,3880.542260166235
1.0,537.9481095377413,670.2701131310181,3708.699095700124
1.0,495.93683059663465,668.2966728351122,3543.0402084689313
1.0,457.88193436972483,664.5427762016059,3383.5987408210185
1.0,423.3489928066848,659.1740744259984,3230.3536138889654
1.0,391.9567287883258,652.3545081529539,3083.2399513319597
1.0,363.3700630411911,644.2437286807542,2942.1580252485146
1.0,337.29409549059346,634.9951457999464,2806.9808623102094
1.0,313.468898901672,624.7545160463521,2677.5606554320802
1.0,291.6650164242162,613.6589863863471,2553.7341250690815
1.0,271.6795677174887,601.8365135431227,2435.326967396512
1.0,253.3328803770055,589.405586653837,2322.157516410534
1.0,236.46557428265805,576.4751895104641,2214.0397349914197
1.0,220.93603619721375,563.1449474443323,2110.7856373520226
1.0,206.6182305220209,549.5054124178137,2012.2072328332574
1.0,193.3997996053513,535.6384477550453,1918.1180691727498
1.0,181.1804135294152,521.6176810016328,1828.3344424834072
1.0,169.87033494037303,507.50899958376783,1742.6763313421488
1.0,159.38916936019086,493.3710692441223,1660.9681036742854
1.0,149.66477560094057,479.2558597135905,1583.0390374769374
1.0,140.63231450460444,465.2091658076206,1508.7236898174342
1.0,132.2334173068956,451.2711151982329,1437.8621428551014
1.0,124.41545756634144,437.47665659519697,1370.3001507960623
1.0,117.13091285790154,423.8560240565963,1305.8892075862573
1.0,110.33680436203576,410.4351747182243,1244.4865516890843
1.0,103.99420413547693,397.236198453107,1185.9551213954783
1.0,98.06780126182628,384.2776989085222,1130.163471686482
1.0,92.52551929520257,371.575146071359,1076.9856616554525
1.0,87.33817844574509,359.14120102873125,1026.301119818978
1.0,82.47919684312001,346.98601395738035,977.9944932592688
1.0,77.9243259819487,335.1174966241286,931.9554854010878
1.0,73.65141610347928,323.54157083642997,888.0786862805406
1.0,69.64020783277374,312.26239436807737,846.2633983925225
1.0,65.87214687385494,301.28256591749346,806.4134605680945
1.0,62.33021898398874,290.6033106484789,768.4370718181493
1.0,58.99880280415533,280.2246478267362,732.2466166529457
